"name","type","gender","age","polarity","flag","Prolific_ID","attribute","rating"
"Adelina","real","female","","evil",0,"614e32f014271652f5161ed6","gender",50
"Adelina","real","female","","evil",0,"6155b1c2bb8d69b855b20666","gender",50
"Adelina","real","female","","evil",0,"6151ca50de1738d0a1e4af9c","gender",50
"Adelina","real","female","","evil",0,"61526c08384950cebfadf59c","gender",50
"Adelina","real","female","","evil",0,"61114381e2253fd0d5ab8391","gender",46
"Adelina","real","female","","evil",0,"615097e49c587db90d147c59","gender",50
"Adelina","real","female","","evil",0,"614d218f946f996c7e2ef6fa","gender",50
"Adelina","real","female","","evil",0,"60fe31cfe4d5ab46d2634c52","gender",35
"Adelina","real","female","","evil",0,"5cd85ef210887400012db8dc","gender",44
"Adelina","real","female","","evil",0,"60fdc0caa5dca692145a4e87","gender",50
"Adelina","real","female","","evil",0,"61515ae6a5095b42a1ebd75b","gender",32
"Adelina","real","female","","evil",0,"6151fd483e33a9a428d19e75","gender",50
"Adelina","real","female","","evil",0,"612d5293f3ed68abd146c461","gender",50
"Adelina","real","female","","evil",0,"61115ba660dfe3ceb753bbeb","gender",50
"Adelina","real","female","","evil",0,"61560db6a537f0c454b23db0","gender",50
"Adelina","real","female","","evil",0,"611591cd1094c7813fea0311","gender",50
"Adelina","real","female","","evil",0,"6150d2a07d2cadcb2031cf4a","gender",50
"Adelina","real","female","","evil",0,"614e088cf42a096eee875324","gender",45
"Adelina","real","female","","evil",0,"6154363cee704f31fb126101","gender",50
"Adelina","real","female","","evil",0,"6155fcd794100a4e05543940","gender",50
"Adelina","real","female","","evil",0,"614e32be22e681ba114a512f","gender",50
"Adelina","real","female","","evil",0,"61560afe27f7775e20de95aa","gender",50
"Adelina","real","female","","evil",0,"614e42d24807d28bf312f649","gender",42
"Adelina","real","female","","evil",0,"614f7c18bdb6a375bcd4b876","gender",50
"Adelina","real","female","","evil",0,"615106120d5baea091e66d10","gender",50
"Adelina","real","female","","evil",0,"611f0cf0b485a22cd0cb21b4","gender",39
"Adelina","real","female","","evil",0,"61099921a0035b0e2922094e","gender",50
"Adelina","real","female","","evil",0,"614e951047173bf040153e8e","gender",49
"Adelina","real","female","","evil",0,"614f548728318a7cd715fe22","gender",50
"Adelina","real","female","","evil",0,"6155d14afd03ebfe3f9c7303","polarity",45
"Adelina","real","female","","evil",0,"6154bd08dcac066140a91f1e","polarity",5
"Adelina","real","female","","evil",0,"5fbc7c8b02bb0c14bfbe08ef","polarity",9
"Adelina","real","female","","evil",0,"6107a4a19c877866081478dc","polarity",34
"Adelina","real","female","","evil",0,"5e1e5b5bff2b7f1b83c9d5e7","polarity",24
"Adelina","real","female","","evil",0,"614f656b60ec6475f15b1f21","polarity",17
"Adelina","real","female","","evil",0,"61521d1cc96b34dc2ec1ad10","polarity",29
"Adelina","real","female","","evil",0,"6108b5cc53d9f4c0e1d68996","polarity",50
"Adelina","real","female","","evil",0,"614e3cfbfd78d43d3c578a46","polarity",50
"Adelina","real","female","","evil",0,"614567082fec2310a398592e","polarity",50
"Adelina","real","female","","evil",0,"6154afcf38500d8446fb2cbd","polarity",25
"Adelina","real","female","","evil",0,"6151fd7aab35f298f202319b","polarity",14
"Adelina","real","female","","evil",0,"6156b0f5f2fa56aa2b44d68b","polarity",43
"Adelina","real","female","","evil",0,"614bd5aa677e09a9132fcd16","polarity",38
"Adelina","real","female","","evil",0,"61435e549de2fdc8bfd19403","polarity",17
"Adelina","real","female","","evil",0,"6155f37cd8d1befb7702fd6c","polarity",48
"Adelina","real","female","","evil",0,"61127edae420c460b6e45aa0","polarity",43
"Adelina","real","female","","evil",0,"610b145aef597fac1136601e","polarity",50
"Adelina","real","female","","evil",0,"598cbe5651049400015fd93b","polarity",30
"Adelina","real","female","","evil",0,"615319ea719f8aba6a5edef5","polarity",39
"Adelina","real","female","","evil",0,"61521eeb4555a948f961f967","polarity",22
"Adelina","real","female","","evil",0,"614eaa491e505b2294ac39ff","polarity",33
"Adelina","real","female","","evil",0,"61080e7c2378d6a7a5a25325","polarity",28
"Adelina","real","female","","evil",0,"60fccb3947badf0646890b6b","polarity",21
"Adelina","real","female","","evil",0,"61522ccc693f3ff2283df619","polarity",39
"Adelina","real","female","","evil",0,"613747afa1b97f29cbae831b","polarity",26
"Adelina","real","female","","evil",0,"614e5a2ab454a3955d58b24d","polarity",33
"Adelina","real","female","","evil",0,"60fad48ae851b8f5b23a24c3","polarity",50
"Adelina","real","female","","evil",0,"5f25af42340e0104c7df4600","polarity",39
"Adelina","real","female","","evil",0,"615368b5dc63e2f34a487b6c","polarity",50
"Adelina","real","female","","evil",0,"6152ae8a347374a7054108f7","polarity",9
"Adelina","real","female","","evil",0,"614fabcacf0bcb5c949e7312","polarity",28
"Adelina","real","female","","evil",0,"614e6aae492dda7417a15396","polarity",10
"Adelina","real","female","","evil",0,"615224b6fec95dfc43439c28","polarity",35
"Adelina","real","female","","evil",0,"6111735eaf7cead6ae8e2b8b","polarity",9
"Adelina","real","female","","evil",0,"6150d3a3671577009b778d16","polarity",49
"Adelina","real","female","","evil",0,"61554525c24e44e0424f9425","polarity",29
"Alasdair","real","male","young","",1,"6150dd240ac46d69cf98aab6","gender",-20
"Alasdair","real","male","young","",1,"614de785b8b89e4aba599f03","gender",-50
"Alasdair","real","male","young","",1,"6146d7fdc0c6541b9f5e8ab8","gender",-50
"Alasdair","real","male","young","",1,"614f3d28edd0d1735962aae3","gender",-37
"Alasdair","real","male","young","",1,"614ded15a2de6a2d1b495390","gender",-17
"Alasdair","real","male","young","",1,"6151fbdbaa44cb4f1435e5db","gender",-50
"Alasdair","real","male","young","",1,"6155b1c2bb8d69b855b20666","gender",-50
"Alasdair","real","male","young","",1,"6110e3fc556802a6dba3c7f1","gender",-31
"Alasdair","real","male","young","",1,"614e3cfbfd78d43d3c578a46","gender",-22
"Alasdair","real","male","young","",1,"614567082fec2310a398592e","gender",-50
"Alasdair","real","male","young","",1,"5ed2bd34e1e0e70c6aea6adf","gender",-29
"Alasdair","real","male","young","",1,"60fe31cfe4d5ab46d2634c52","gender",-45
"Alasdair","real","male","young","",1,"6151fd7aab35f298f202319b","gender",-50
"Alasdair","real","male","young","",1,"6151fd483e33a9a428d19e75","gender",-50
"Alasdair","real","male","young","",1,"615334dce4f34a9ecfa906ff","gender",-50
"Alasdair","real","male","young","",1,"614bd5aa677e09a9132fcd16","gender",-20
"Alasdair","real","male","young","",1,"61127edae420c460b6e45aa0","gender",-9
"Alasdair","real","male","young","",1,"615210cc5d66c061e40fec47","gender",-50
"Alasdair","real","male","young","",1,"6150d9de26db220e2a7a912f","gender",-50
"Alasdair","real","male","young","",1,"614b3d6a4f76b8dfc939adf0","gender",-10
"Alasdair","real","male","young","",1,"61521eeb4555a948f961f967","gender",-50
"Alasdair","real","male","young","",1,"61535bd45997429e396cd1ac","gender",-41
"Alasdair","real","male","young","",1,"61509b08e90ae2ef4ecad5ac","gender",-40
"Alasdair","real","male","young","",1,"614f2b714f94a692064faec0","gender",-25
"Alasdair","real","male","young","",1,"614eab41863f12cd8b7de0e7","gender",-50
"Alasdair","real","male","young","",1,"6109af1e20b4297d97ff0bc8","gender",-33
"Alasdair","real","male","young","",1,"614ff5087d00000408f278d5","gender",-38
"Alasdair","real","male","young","",1,"61502f4b1b144c908d1b1989","gender",-25
"Alasdair","real","male","young","",1,"5ddb4066d3ac2ac59ed964b5","gender",-31
"Alasdair","real","male","young","",1,"61565782509d1a1b0d42f2a8","gender",-21
"Alasdair","real","male","young","",1,"5f52f8c3e960a9613400f3c8","gender",-50
"Alasdair","real","male","young","",1,"60fcc653d67afbff17c021a4","gender",-24
"Alasdair","real","male","young","",1,"61552997def490723e46d6e2","gender",-40
"Alasdair","real","male","young","",1,"6156a05ac4ecfbe9b128de6d","gender",-26
"Alasdair","real","male","young","",1,"61554525c24e44e0424f9425","gender",-14
"Alasdair","real","male","young","",1,"6142468d4cab064bd684fc2e","age",17
"Alasdair","real","male","young","",1,"5749537f5e5491000f3c1e33","age",18
"Alasdair","real","male","young","",1,"6154bd08dcac066140a91f1e","age",23
"Alasdair","real","male","young","",1,"5fbc7c8b02bb0c14bfbe08ef","age",-25
"Alasdair","real","male","young","",1,"6107a4a19c877866081478dc","age",23
